CancerTypes,cg00251716,cg01368075,cg02772121,cg04105511,cg04337594,cg06132620,cg06372779,cg06823060,cg06911354,cg07592254,cg08523456,cg10419849,cg10743291,cg11600734,cg14398860,cg14418633,cg15002250,cg15958289,cg18368125,cg18631798,cg19817912,cg20404260,cg20639396,cg24402880,cg24650915,cg25282976,cg25745246,cg26297005,cg26835683,cg27592331,sample_type
skin cutaneous melanoma,0.397741,0.700298,0.383265,0.742702,0.790948,0.761852,0.891241,0.644649,0.842331,0.447301,0.755556,0.939907,0.470552,0.742448,0.968502,0.88349,0.922276,0.127425,0.924622,0.911435,0.258851,0.733986,0.840366,0.812122,0.678121,0.916798,0.9371,0.323332,0.87298,0.830971,Metastatic
skin cutaneous melanoma,0.761214,0.100637,0.965481,0.926418,0.94443,0.917108,0.936165,0.804607,0.932499,0.322989,0.851869,0.949355,0.660043,0.935742,0.984387,0.804508,0.938836,0.257712,0.933095,0.959757,0.169391,0.896134,0.917955,0.897049,0.887279,0.94426,0.942216,0.916626,0.947091,0.938755,Metastatic
skin cutaneous melanoma,0.253085,0.693115,0.926813,0.776699,0.849062,0.793143,0.934671,0.458042,0.140027,0.564615,0.874327,0.957898,0.553793,0.843417,0.973398,0.31751,0.907121,0.12633,0.935264,0.915875,0.28277,0.779255,0.913443,0.441448,0.634837,0.914423,0.909325,0.298625,0.834174,0.909737,Metastatic
skin cutaneous melanoma,0.456539,0.729521,0.69977,0.720507,0.670747,0.758774,0.926283,0.453743,0.773568,0.907621,0.669936,0.951139,0.584642,0.825545,0.982593,0.370298,0.907185,0.331221,0.916195,0.851454,0.356854,0.813794,0.683267,0.746066,0.622727,0.902042,0.879005,0.91881,0.886543,0.0762717,Metastatic
skin cutaneous melanoma,0.832356,0.724702,0.596036,0.444668,0.824939,0.597979,0.925595,0.698206,0.418463,0.885759,0.857963,0.938593,0.802503,0.611674,0.97917,0.693492,0.79389,0.350219,0.906287,0.610582,0.810359,0.643574,0.596912,0.528308,0.679086,0.696387,0.901004,0.811881,0.841302,0.190871,Metastatic
skin cutaneous melanoma,0.102194,0.129396,0.0859955,0.86225,0.567871,0.839631,0.894293,0.254035,0.903006,0.787014,0.79921,0.92152,0.243781,0.916268,0.969544,0.931388,0.910983,0.047222,0.903738,0.909248,0.162349,0.806159,0.831584,0.922356,0.697137,0.945014,0.922123,0.158109,0.670977,0.92957,Metastatic
skin cutaneous melanoma,0.0830274,0.267839,0.649328,0.948587,0.858615,0.927942,0.937374,0.753542,0.818767,0.846392,0.947407,0.94417,0.171243,0.899957,0.983436,0.0731573,0.945264,0.0764089,0.790611,0.952851,0.0873585,0.880207,0.921137,0.843523,0.861639,0.948807,0.890255,0.542173,0.95063,0.618611,Metastatic
skin cutaneous melanoma,0.55324,0.63488,0.596019,0.625522,0.906162,0.644173,0.888538,0.771092,0.625234,0.766737,0.93907,0.960886,0.714885,0.795927,0.982966,0.850483,0.940171,0.280799,0.951868,0.828412,0.481429,0.678444,0.847221,0.283938,0.789063,0.905904,0.913621,0.933836,0.893318,0.572738,Metastatic
skin cutaneous melanoma,0.0513788,0.136006,0.975162,0.889471,0.881603,0.933663,0.940383,0.544211,0.931625,0.673449,0.610114,0.93712,0.0995534,0.953888,0.976212,0.0253989,0.948796,0.0585464,0.932499,0.949333,0.0520406,0.940276,0.933098,0.931473,0.157931,0.979008,0.95587,0.511031,0.933264,0.931655,Metastatic
skin cutaneous melanoma,0.118263,0.159809,0.503697,0.849363,0.946742,0.827225,0.912216,0.502482,0.900046,0.563549,0.777213,0.929354,0.254193,0.896052,0.974818,0.702233,0.944585,0.64415,0.91047,0.956218,0.160946,0.616601,0.865175,0.873764,0.441048,0.944341,0.898916,0.912068,0.780073,0.915564,Metastatic
skin cutaneous melanoma,0.641084,0.870218,0.631137,0.457938,0.624635,0.459651,0.829072,0.681351,0.347629,0.801201,0.759639,0.926596,0.787604,0.544152,0.97617,0.507617,0.892884,0.20435,0.916427,0.875091,0.503342,0.58878,0.736679,0.374285,0.724979,0.777489,0.839292,0.526743,0.828891,0.254728,Metastatic
skin cutaneous melanoma,0.332156,0.578858,0.900036,0.935702,0.927578,0.920681,0.914895,0.280946,0.927561,0.268819,0.783887,0.952233,0.155572,0.914123,0.968483,0.52733,0.944601,0.0477227,0.925579,0.959767,0.0961475,0.886599,0.874658,0.88525,0.610534,0.971682,0.92058,0.612066,0.753597,0.949818,Metastatic
skin cutaneous melanoma,0.493334,0.811428,0.781831,0.500637,0.687107,0.719977,0.887149,0.68582,0.227553,0.857713,0.549381,0.954941,0.593951,0.784803,0.976918,0.556153,0.957234,0.215965,0.938732,0.945588,0.504278,0.737107,0.806677,0.57408,0.911675,0.881052,0.858624,0.5252,0.889907,0.516871,Metastatic
skin cutaneous melanoma,0.19653,0.26812,0.515454,0.87303,0.58227,0.670848,0.930767,0.366018,0.908732,0.339711,0.364043,0.950997,0.261963,0.767618,0.9799,0.80771,0.713966,0.056155,0.942732,0.854535,0.24032,0.80251,0.873789,0.858622,0.742423,0.952458,0.937441,0.274816,0.425619,0.828378,Metastatic
skin cutaneous melanoma,0.803414,0.549697,0.884426,0.563145,0.650502,0.480466,0.856932,0.497364,0.50499,0.568657,0.8514,0.90434,0.757681,0.62635,0.971014,0.623058,0.910014,0.185952,0.940175,0.909225,0.429204,0.66632,0.635708,0.674833,0.481357,0.859067,0.868376,0.473506,0.924769,0.672968,Metastatic
skin cutaneous melanoma,0.516382,0.813302,0.363258,0.462336,0.744072,0.621391,0.919898,0.746649,0.217889,0.814071,0.709279,0.95433,0.836644,0.733757,0.97681,0.718468,0.944518,0.370903,0.967896,0.892369,0.548107,0.736558,0.609953,0.285458,0.806444,0.876236,0.741778,0.903274,0.919158,0.549201,Metastatic
skin cutaneous melanoma,0.66837,0.624285,0.224075,0.506944,0.834087,0.576513,0.879441,0.72575,0.453053,0.792133,0.73944,0.939368,0.871448,0.765726,0.980067,0.608144,0.894644,0.276454,0.919686,0.906299,0.574182,0.700123,0.816971,0.637373,0.834263,0.849933,0.864574,0.579738,0.841362,0.506568,Metastatic
skin cutaneous melanoma,0.921269,0.870527,0.182297,0.708932,0.805167,0.783066,0.176474,0.891161,0.853856,0.828785,0.753571,0.710554,0.891498,0.124607,0.970173,0.281359,0.930633,0.792498,0.786449,0.921475,0.804059,0.801704,0.340908,0.547817,0.850069,0.841215,0.87412,0.835468,0.865139,0.672916,Metastatic
skin cutaneous melanoma,0.389668,0.731804,0.858736,0.4701,0.809774,0.731006,0.914241,0.502346,0.77139,0.843598,0.338966,0.947396,0.517163,0.840071,0.978505,0.983257,0.941823,0.15713,0.939104,0.926885,0.358999,0.810118,0.851162,0.747777,0.488727,0.953436,0.912796,0.411033,0.924793,0.33529,Metastatic
skin cutaneous melanoma,0.20946,0.530258,0.21951,0.889873,0.569687,0.739477,0.901764,0.303671,0.828243,0.480096,0.920461,0.932796,0.478392,0.847843,0.97705,0.854699,0.942414,0.0494701,0.935862,0.919818,0.260393,0.765077,0.775128,0.588371,0.737493,0.945782,0.877122,0.843289,0.745329,0.931994,Metastatic
skin cutaneous melanoma,0.780568,0.838397,0.320248,0.859419,0.933896,0.773747,0.931634,0.593851,0.834868,0.651776,0.906311,0.959142,0.702889,0.877745,0.961129,0.69882,0.951384,0.155279,0.931516,0.943323,0.277351,0.810852,0.86206,0.745403,0.74375,0.932813,0.937877,0.944556,0.936837,0.800033,Metastatic
skin cutaneous melanoma,0.408155,0.501104,0.159072,0.657259,0.890252,0.669974,0.913186,0.845742,0.527602,0.667073,0.660596,0.922049,0.62709,0.797317,0.978276,0.937402,0.89068,0.208966,0.937315,0.926161,0.475445,0.746799,0.794402,0.493818,0.831132,0.883201,0.875818,0.627762,0.784038,0.436806,Metastatic
skin cutaneous melanoma,0.350175,0.410569,0.746342,0.696698,0.518404,0.712721,0.906219,0.7881,0.417623,0.473819,0.726837,0.930565,0.535802,0.819445,0.97198,0.339755,0.858585,0.0906386,0.938747,0.902785,0.344564,0.732615,0.822404,0.622066,0.701537,0.942166,0.834717,0.603786,0.892165,0.798447,Metastatic
skin cutaneous melanoma,0.621533,0.536501,0.269585,0.563006,0.598595,0.575313,0.933097,0.697115,0.316243,0.753002,0.798602,0.82198,0.839198,0.599198,0.973933,0.474691,0.908617,0.157955,0.921246,0.594641,0.655017,0.61221,0.651147,0.46993,0.502389,0.742845,0.888336,0.57166,0.711788,0.476986,Metastatic
skin cutaneous melanoma,0.264663,0.228064,0.46068,0.766526,0.639002,0.761445,0.648434,0.869735,0.779065,0.672953,0.886106,0.915299,0.5006,0.879805,0.978957,0.936322,0.933486,0.172165,0.919061,0.908794,0.257631,0.8314,0.79742,0.717468,0.794797,0.950172,0.890556,0.816766,0.885278,0.846659,Metastatic
skin cutaneous melanoma,0.224054,0.314294,0.058452,0.739309,0.938536,0.756506,0.909209,0.627971,0.77154,0.296148,0.810949,0.910927,0.571072,0.718996,0.979987,0.956131,0.941849,0.287266,0.79036,0.95265,0.265731,0.789832,0.436992,0.487349,0.596134,0.89463,0.861126,0.277079,0.8235,0.65641,Metastatic
skin cutaneous melanoma,0.245582,0.30495,0.0740316,0.798129,0.770663,0.728397,0.940552,0.34799,0.772445,0.298319,0.491708,0.751241,0.526595,0.550197,0.980231,0.942482,0.585657,0.286224,0.942266,0.944994,0.235667,0.773324,0.178549,0.638463,0.706715,0.892754,0.809299,0.259624,0.783367,0.057995,Metastatic
skin cutaneous melanoma,0.193391,0.214341,0.908368,0.871811,0.961563,0.819121,0.906756,0.881959,0.864132,0.929143,0.93824,0.959,0.51409,0.861445,0.982029,0.987924,0.944325,0.329862,0.949476,0.964305,0.24333,0.8801,0.675729,0.811038,0.910095,0.972443,0.904446,0.56456,0.866956,0.897899,Metastatic
skin cutaneous melanoma,0.212092,0.467719,0.953303,0.833213,0.913974,0.82488,0.938665,0.325848,0.889619,0.586028,0.881642,0.796317,0.423514,0.922479,0.982076,0.965063,0.967484,0.21502,0.95618,0.956912,0.177198,0.859693,0.907085,0.935132,0.445745,0.967966,0.897761,0.202913,0.925655,0.840255,Metastatic
skin cutaneous melanoma,0.134871,0.46045,0.922265,0.911591,0.91518,0.913659,0.942274,0.516764,0.913088,0.914636,0.667788,0.961087,0.222072,0.933815,0.965684,0.970261,0.963722,0.13926,0.935888,0.955254,0.153208,0.859618,0.928412,0.889394,0.862071,0.976148,0.942065,0.941576,0.955066,0.925661,Metastatic
skin cutaneous melanoma,0.737826,0.496321,0.940287,0.929849,0.900448,0.903275,0.952379,0.876026,0.901421,0.405505,0.93081,0.959305,0.232587,0.906247,0.976426,0.686066,0.947477,0.0810057,0.958333,0.890307,0.103767,0.878828,0.819916,0.881723,0.851708,0.977267,0.924341,0.870015,0.894432,0.922362,Metastatic
skin cutaneous melanoma,0.299233,0.338599,0.621353,0.582562,0.805413,0.637614,0.880069,0.61195,0.534229,0.614367,0.884682,0.902397,0.665834,0.818872,0.968622,0.489844,0.90234,0.193894,0.820679,0.949689,0.372318,0.721252,0.572407,0.361196,0.821507,0.828509,0.795523,0.56082,0.876832,0.595,Metastatic
skin cutaneous melanoma,0.178993,0.350778,0.154741,0.84204,0.81719,0.827383,0.860554,0.587862,0.81932,0.596389,0.744463,0.944648,0.574177,0.891516,0.97119,0.364325,0.933146,0.0930668,0.840774,0.945702,0.233596,0.816563,0.835782,0.662844,0.65915,0.961417,0.72175,0.931426,0.89795,0.824788,Metastatic
skin cutaneous melanoma,0.569196,0.695547,0.393149,0.557442,0.924406,0.593466,0.922751,0.777633,0.523625,0.905706,0.92303,0.939918,0.841339,0.574165,0.977879,0.865531,0.904086,0.157187,0.908918,0.839512,0.501463,0.697075,0.744174,0.474797,0.72969,0.859845,0.888928,0.919629,0.926104,0.513997,Metastatic
skin cutaneous melanoma,0.351414,0.283623,0.817328,0.780798,0.829907,0.622834,0.925513,0.474286,0.819278,0.355201,0.358818,0.933901,0.35093,0.844547,0.975942,0.802424,0.890718,0.141135,0.913246,0.905025,0.291003,0.683837,0.296347,0.551729,0.596336,0.933507,0.92129,0.929156,0.387498,0.877749,Metastatic
skin cutaneous melanoma,0.0652645,0.300406,0.810399,0.959105,0.638098,0.964036,0.938879,0.240714,0.949712,0.737296,0.487213,0.957181,0.0821427,0.87514,0.947742,0.976007,0.958503,0.183643,0.942867,0.940693,0.0525833,0.923007,0.936696,0.935866,0.447482,0.966298,0.941936,0.194189,0.895941,0.908713,Metastatic
skin cutaneous melanoma,0.88237,0.896096,0.25731,0.67566,0.862299,0.778077,0.87545,0.900128,0.897114,0.915433,0.897984,0.919048,0.822352,0.623116,0.97395,0.469828,0.932096,0.623955,0.730259,0.900922,0.576067,0.842308,0.424234,0.808646,0.727063,0.925228,0.936199,0.227824,0.785961,0.879465,Metastatic
skin cutaneous melanoma,0.26389,0.340266,0.755069,0.685386,0.873254,0.652357,0.416729,0.569223,0.596636,0.581588,0.813306,0.91852,0.513219,0.808635,0.963117,0.864383,0.892591,0.107947,0.924683,0.906196,0.301791,0.775463,0.773959,0.784597,0.554227,0.9261,0.902801,0.720814,0.801128,0.750689,Metastatic
skin cutaneous melanoma,0.118856,0.710625,0.407035,0.825365,0.728003,0.77037,0.576235,0.719769,0.712541,0.513993,0.893885,0.919903,0.436459,0.828329,0.921063,0.886735,0.879652,0.217326,0.860294,0.950252,0.180686,0.830325,0.794072,0.419628,0.730051,0.9247,0.3256,0.849,0.812193,0.870162,Metastatic
skin cutaneous melanoma,0.0503042,0.148215,0.971952,0.95736,0.939914,0.936495,0.930392,0.842886,0.926945,0.893451,0.925909,0.937973,0.242966,0.948726,0.976985,0.319221,0.958465,0.156891,0.947141,0.935677,0.0798421,0.939824,0.821475,0.927072,0.528864,0.969611,0.942321,0.926188,0.878398,0.92403,Metastatic
skin cutaneous melanoma,0.623896,0.511328,0.741812,0.871529,0.756605,0.902622,0.907666,0.834174,0.883954,0.754423,0.909362,0.923643,0.200342,0.890304,0.965296,0.970287,0.925117,0.0704394,0.905134,0.9516,0.120591,0.848661,0.875347,0.862287,0.839537,0.957422,0.939497,0.456838,0.942112,0.926387,Metastatic
skin cutaneous melanoma,0.723842,0.612439,0.392632,0.317725,0.905039,0.55532,0.87598,0.75178,0.21074,0.952522,0.792063,0.951698,0.855859,0.746725,0.980731,0.662251,0.872181,0.262599,0.933094,0.872086,0.661532,0.590303,0.664252,0.331661,0.872346,0.901095,0.939244,0.841987,0.933603,0.317494,Metastatic
skin cutaneous melanoma,0.0712667,0.077835,0.898731,0.937943,0.680792,0.831122,0.835643,0.616589,0.905044,0.119667,0.561714,0.91891,0.120345,0.91295,0.971287,0.963816,0.957488,0.0806449,0.921475,0.955739,0.0645894,0.907322,0.825697,0.769087,0.832667,0.963913,0.863507,0.638398,0.811469,0.889143,Metastatic
skin cutaneous melanoma,0.103453,0.12888,0.057546,0.891681,0.907306,0.849248,0.759482,0.333732,0.921746,0.236419,0.817665,0.94135,0.251025,0.884917,0.974649,0.961919,0.933661,0.0617807,0.896967,0.895242,0.142936,0.812337,0.802096,0.744198,0.399519,0.778782,0.911163,0.230923,0.657989,0.0677901,Metastatic
skin cutaneous melanoma,0.100207,0.272398,0.620635,0.935772,0.829961,0.919473,0.915085,0.175112,0.926064,0.454415,0.19009,0.940587,0.23471,0.935183,0.967002,0.511243,0.953653,0.382359,0.938114,0.948688,0.0965871,0.726893,0.818847,0.926351,0.793652,0.960833,0.928666,0.775653,0.863177,0.930192,Metastatic
skin cutaneous melanoma,0.310481,0.619271,0.183977,0.741768,0.732836,0.459361,0.9015,0.246374,0.699233,0.692254,0.317811,0.889008,0.670433,0.571048,0.97831,0.52353,0.836187,0.0786704,0.94751,0.855122,0.34193,0.705069,0.67409,0.435116,0.602564,0.710042,0.921344,0.306013,0.673594,0.72403,Metastatic
skin cutaneous melanoma,0.0756871,0.191997,0.955317,0.936288,0.671029,0.920704,0.925874,0.90858,0.910952,0.847212,0.146481,0.940631,0.189767,0.936351,0.961095,0.959337,0.959761,0.0573725,0.941584,0.934764,0.0736201,0.92554,0.249337,0.883787,0.826688,0.960899,0.914142,0.883246,0.768578,0.915874,Metastatic
skin cutaneous melanoma,0.380975,0.869562,0.536414,0.751339,0.934049,0.676005,0.948116,0.523166,0.780448,0.659213,0.941055,0.928567,0.537287,0.710267,0.982773,0.850766,0.46148,0.107769,0.943594,0.810095,0.364458,0.722128,0.686035,0.627087,0.632128,0.810307,0.938989,0.367042,0.916692,0.792611,Metastatic
skin cutaneous melanoma,0.666122,0.638674,0.120651,0.532787,0.917239,0.709853,0.906715,0.739063,0.43495,0.776802,0.809775,0.947148,0.858471,0.805826,0.968134,0.530063,0.891878,0.265371,0.897279,0.93087,0.629633,0.809056,0.815392,0.518335,0.566822,0.800785,0.887156,0.655493,0.89586,0.370847,Metastatic
skin cutaneous melanoma,0.185442,0.1488,0.94562,0.898147,0.886608,0.871635,0.923134,0.429255,0.626167,0.59227,0.596715,0.950548,0.252269,0.900802,0.976622,0.859484,0.91028,0.0747482,0.916249,0.912652,0.125577,0.876968,0.829965,0.662224,0.824371,0.943418,0.937336,0.823363,0.884957,0.874357,Metastatic
skin cutaneous melanoma,0.0986246,0.908405,0.4233,0.831325,0.669255,0.870143,0.931569,0.418936,0.812785,0.229525,0.926595,0.940422,0.288774,0.908699,0.975701,0.1872,0.937536,0.108611,0.923028,0.955118,0.159221,0.839453,0.704945,0.785778,0.751319,0.948673,0.549324,0.199315,0.91294,0.850534,Metastatic
skin cutaneous melanoma,0.102463,0.183168,0.155391,0.890736,0.639701,0.899783,0.918325,0.619899,0.840382,0.378956,0.791756,0.93296,0.177905,0.901152,0.972902,0.898503,0.941768,0.172596,0.885978,0.953359,0.159608,0.884215,0.910978,0.87686,0.687398,0.961901,0.940315,0.874208,0.827455,0.901159,Metastatic
skin cutaneous melanoma,0.405258,0.517491,0.864638,0.759568,0.765513,0.759098,0.917481,0.540777,0.717575,0.930625,0.623534,0.960816,0.663217,0.902084,0.983059,0.896962,0.926463,0.181065,0.93423,0.937314,0.402755,0.766405,0.801891,0.665828,0.83057,0.936591,0.873169,0.862511,0.927119,0.858534,Metastatic
skin cutaneous melanoma,0.493835,0.551067,0.651865,0.63814,0.730172,0.624383,0.937542,0.619544,0.573384,0.64188,0.875884,0.952332,0.785072,0.780163,0.977587,0.582081,0.916471,0.290415,0.947138,0.856933,0.501109,0.746283,0.820714,0.689684,0.810069,0.841901,0.903036,0.891376,0.919222,0.483703,Metastatic
skin cutaneous melanoma,0.95897,0.94842,0.981658,0.93382,0.957191,0.907047,0.937058,0.936007,0.940053,0.958633,0.960564,0.950328,0.141113,0.927992,0.982941,0.979031,0.957163,0.784354,0.958601,0.947503,0.1235,0.85459,0.889165,0.905032,0.870725,0.971688,0.949802,0.951448,0.956059,0.945324,Metastatic
skin cutaneous melanoma,0.108563,0.347734,0.929846,0.892033,0.444583,0.821894,0.554196,0.228088,0.933858,0.286009,0.496457,0.737745,0.235119,0.853686,0.964005,0.785717,0.807236,0.0684799,0.903043,0.339422,0.176422,0.476911,0.872861,0.848286,0.217183,0.73999,0.9213,0.444117,0.546656,0.878993,Metastatic
skin cutaneous melanoma,0.300665,0.88038,0.759289,0.67014,0.536758,0.597936,0.656147,0.449217,0.756687,0.606202,0.910593,0.871155,0.425314,0.573638,0.970274,0.348594,0.564165,0.17464,0.856241,0.915675,0.346321,0.758764,0.347553,0.260583,0.344582,0.850121,0.830084,0.366459,0.709876,0.212388,Metastatic
skin cutaneous melanoma,0.538741,0.624724,0.537374,0.547316,0.693282,0.557421,0.916953,0.6527,0.500514,0.831934,0.832903,0.947444,0.778728,0.711582,0.983578,0.851758,0.901064,0.257428,0.906558,0.932117,0.594989,0.696392,0.822212,0.526623,0.755962,0.781651,0.84581,0.71739,0.899949,0.566822,Metastatic
skin cutaneous melanoma,0.248724,0.871902,0.234093,0.707092,0.917643,0.749299,0.913641,0.659985,0.810733,0.777453,0.756021,0.946576,0.717315,0.832442,0.972407,0.41942,0.948437,0.210888,0.938667,0.901311,0.333129,0.421095,0.753393,0.671762,0.718929,0.937402,0.936165,0.321093,0.77748,0.687214,Metastatic
skin cutaneous melanoma,0.82195,0.531983,0.691752,0.593114,0.94338,0.579749,0.886769,0.779999,0.602312,0.593124,0.955818,0.956505,0.796848,0.752936,0.980404,0.950469,0.927026,0.323275,0.916313,0.926285,0.549117,0.65926,0.81014,0.491087,0.871432,0.876502,0.91671,0.613132,0.921563,0.637888,Metastatic
